id,songname,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harmonic_mean,harmonic_std,harmonic_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Attention,99.38401442307692,127524,1288.121212121212,0.2949163,0.31193116,0.09730105,0.3754671,0.29725382,0.08835984,0.23537439,0.16712938,0.027932229,3.4107447,27.671482,765.7109,-6.5181084,54.607006,2981.925,0.0137743885,3.688456,13.604708,0.10928113,0.05525969,0.0030536333,2194.573584856374,1142.4037396009705,1305086.3042542823,2485.581617411807,618.951434749655,383100.8785786565,24.262892009332365,12.673519985032451,160.61810881101692,4791.358527310493,2401.6579813088447,5767961.059184475,1.036219323440344,1.3653076239161708,1.8640649079236198,-0.050618801236227376,0.16443557693269584,0.027039058961188533,0.08479068153782894,0.08052052825698003,0.006483555470783119,-1.4904711e-07,0.09297197,0.008643788,1.0994113e-05,0.05850445,0.0034227706,3.384308390022676,1.8232599820007669,3.324276961965437
2,Charlie_Puth_Light_Switch,92.28515625,104571,1472.8309859154929,0.41049403,0.31834653,0.10134452,0.5570242,0.25411507,0.064574465,0.26204625,0.1210995,0.01466509,6.27358,62.560368,3913.7998,-1.534602,57.047356,3254.401,0.01217653,4.4752665,20.028011,0.14070673,0.08449425,0.007139278,1706.1965657492906,924.7319314974577,855129.1451310187,2028.9611851165087,674.7475606811852,455284.2706452097,22.438027052055276,11.789534473974289,138.99312311302822,3595.303259693063,2055.900610398461,4226727.3198367655,1.4011272775099584,1.8766052294275886,3.5216471871149726,-0.025304675131890605,0.088277826979444,0.00779297473621265,0.06661146417859908,0.05137089318281945,0.0026389686664006454,-2.3767994e-05,0.098953664,0.009791828,6.6294256e-06,0.09602192,0.009220209,4.179591836734694,1.9467408352628148,3.7897998796797623
3,Cradles,161.4990234375,204529,1286.3459119496856,0.3293796,0.31462786,0.09899068,0.40063655,0.29004386,0.08412544,0.24168168,0.15787116,0.0249233,17.880396,209.96387,44084.83,-7.143741,43.79412,1917.925,0.0029380752,4.020295,16.162771,0.22661178,0.17222627,0.029661885,2177.3705703064666,978.6401001202833,957736.4455634381,1859.3093311396267,657.6689137320575,432528.40008950455,24.50299299438298,13.00364451126062,169.09477057523844,4037.9672496311437,1796.2008232605854,3226337.3974820045,2.633393840348188,3.86053855949349,14.90375796933607,-0.03778842189916143,0.14632633551799742,0.02141139646612555,0.11839592050841719,0.07814704676352494,0.006106960917860554,-6.2401756e-05,0.19410338,0.037676122,4.9841583e-05,0.1589314,0.02525919,12.852244897959181,8.631336896140837,74.49997661468214
4,Dandelions,78.30255681818181,85078,1181.638888888889,0.33120924,0.2985765,0.08914793,0.34083986,0.29039308,0.084328145,0.21970063,0.18725641,0.035064965,13.608104,94.34067,8900.162,1.0643709,32.746017,1072.3018,0.012583811,2.88885,8.345454,0.22900835,0.09557095,0.009133807,2478.3753312719546,830.6957952286654,690055.5042105848,2586.3672934547476,459.5133368075183,211152.50670397974,24.008247905555628,13.0210338171307,169.5473216668613,5406.613140283354,1734.6413656960167,3008980.667583742,2.5756581033813504,3.1538989944574864,9.947078867239945,-0.06632909325211264,0.1781774473131755,0.03174720273103943,0.09729344040247678,0.06510953602505294,0.004239251681397666,2.3304067e-06,0.2034662,0.0413985,4.3978216e-05,0.09983009,0.009966047,2.568126984126984,1.5052800127155104,2.265867916680807
5,Despacito,89.10290948275862,111181,1263.4204545454545,0.29908574,0.30424333,0.092563994,0.37430423,0.27944496,0.07808949,0.23993465,0.16051386,0.025764698,5.212097,41.279804,1704.0221,-4.6848726,45.540546,2073.9414,0.010738806,3.3584464,11.279162,0.136756,0.07375062,0.005439154,2348.761590491413,902.2860275683254,814120.0755450288,2336.4851120881426,487.3638840662514,237523.5554921425,25.719265266513993,13.075119113675559,170.95873983680394,4898.245380980312,1760.616740844607,3099771.308142286,1.5331786503893121,2.018047277711055,4.072514815077001,-0.005091124383684949,0.15906184614931002,0.025300670900426765,0.11167581753095976,0.07089174826202378,0.005025639971646153,2.2248785e-06,0.12447156,0.015493169,3.8529477e-05,0.06374127,0.0040629487,3.1811337868480725,2.0646966409592733,4.262972219188507
6,Dua_Lipa_-_Levitating,103.359375,114272,1202.8631578947368,0.40454277,0.30096367,0.09057913,0.53058034,0.24924785,0.06212449,0.26754147,0.10841998,0.011754892,14.296126,101.11333,10223.905,2.3821907,40.993767,1680.4889,0.0051518567,2.9098413,8.467176,0.23050116,0.1092136,0.01192761,2077.9889534535864,954.1540703812585,910409.9900251236,2135.1174535827836,657.5641527290567,432390.61495428224,23.825271992507886,13.02688146313771,169.69964065464092,4342.682073728957,1795.142826131565,3222537.766211622,2.967340349246279,3.8333181396435445,14.694327959720246,-0.004291772761323351,0.09589861516617318,0.009196544390789782,0.092581639717976,0.0732607087965682,0.005367131453375565,-4.0703864e-07,0.18126407,0.03285666,0.00010315126,0.115062065,0.013239279,6.076662131519274,3.274681316901516,10.723537727263846
7,One_Direction_Infinity,129.19921875,164258,1283.265625,0.31189924,0.30111867,0.09067245,0.41830644,0.28903073,0.083538756,0.2330469,0.17035984,0.029022472,5.4054604,42.353085,1793.7838,-4.536314,51.119728,2613.2266,0.011708437,2.7100258,7.344239,0.1297568,0.082971364,0.006884247,1862.1221839934065,1056.0611119565222,1115265.0721868458,2106.642448983025,669.9398912146142,448819.4578406492,23.620533801988593,11.411032204399996,130.21165596985384,3859.564161743542,2146.6286686133203,4608014.640912596,1.4357947075560882,2.0116533432083763,4.046749173241437,0.009712469125441181,0.15381075398606542,0.02365774804176194,0.08727498246420279,0.072746615068399,0.005292070003909816,-3.7361724e-06,0.11554052,0.013349611,2.2153893e-06,0.06701107,0.004490484,3.6316009070294784,1.690715678910346,2.8585195069132716
8,one_direction_night_changes,117.45383522727273,152603,1293.2457627118645,0.26848426,0.29924998,0.089550555,0.35788283,0.30244294,0.09147174,0.21630333,0.1911706,0.0365462,5.3031015,39.51649,1561.553,-7.9459686,58.81873,3459.6428,0.013344535,2.5334187,6.4182105,0.12301711,0.08879445,0.007884454,1543.3650600495823,865.2929646942189,748731.9147493107,1811.433954337194,675.7307222219656,456612.0089546192,23.958949149013304,10.899345825442737,118.795739422596,2945.5238554868906,1876.6964306378864,3521989.492768983,1.39805744325787,2.2018105745758136,4.847969806313875,-0.0018331622083963136,0.20057026955713786,0.04022843303022294,0.07098388671875,0.054938314929315245,0.0030182184472726226,1.162041e-06,0.11341382,0.0128626935,4.104987e-05,0.06336906,0.004015637,6.108009070294784,2.9519446701203242,8.71397733545179
9,Senorita,117.45383522727273,136459,1229.3603603603603,0.29717916,0.3092465,0.095633395,0.35400176,0.27056068,0.07320308,0.2376328,0.16390236,0.026863985,7.2524376,43.236164,1869.3657,-0.118791796,41.55369,1726.7092,0.009675029,3.6616826,13.40792,0.17451136,0.05045377,0.002545583,2415.5662139223373,1118.0741186044213,1250089.7346930536,2528.2060881628204,663.4748834899326,440198.92102197965,23.860439923595234,11.854943365622585,140.53968220211894,5416.550580193015,2182.7710882812207,4764489.623836384,1.7489232659432816,2.1047143516687665,4.4298225021204765,0.04861379365045945,0.1496525193227655,0.0223958765396507,0.091544042061726,0.06984773291662957,0.004878705793592819,2.480518e-06,0.1484617,0.022040877,3.358081e-05,0.072903655,0.0053149424,3.290267573696145,1.7600679673744457,3.0978392497776133
10,Taylor_Swift-Willow,112.34714673913044,139960,1272.3636363636363,0.30250165,0.301461,0.09087873,0.39785346,0.29147175,0.08495579,0.2329946,0.17043136,0.029046847,9.242559,61.38179,3767.724,-4.5861254,53.139923,2823.8513,0.011664164,3.0503008,9.304335,0.18199222,0.0801381,0.006422115,1545.3395317797358,991.7055384496356,983479.8749916815,2092.2519004409405,757.2970626737788,573498.8411343333,25.48836664909538,11.547703987621178,133.34946738572205,3117.9936459189967,2271.927081077759,5161652.661734505,1.7534379415771184,2.1767465613402512,4.738225592306607,0.0574981493895512,0.15169193992088398,0.023010444636961076,0.05426422213622291,0.051835233309488825,0.00268689141224914,1.2232412e-06,0.15713549,0.02469156,-8.744422e-05,0.08006925,0.0064110854,2.3452154195011334,1.0555250966570247,1.1141332296728215
